Var,Trt,Sample Name,Experiment,Ct Mean,Quantity Mean,Quantity SD
A,Base,A1-1,1,29.13649368,2.441802502,0.034588739
A,Base,A1-1,1,29.13649368,2.441802502,0.034588739
A,Base,A1-2,1,27.84063911,6.013086319,3.035153389
A,Base,A1-2,1,27.84063911,6.013086319,3.035153389
A,Base,A1-3,1,27.82935524,5.662877083,0.334477723
A,Base,A1-3,1,27.82935524,5.662877083,0.334477723
A,Base,A1-4,1,27.58607101,6.803210258,2.242396832
A,Base,A1-4,1,27.58607101,6.803210258,2.242396832
A,Base,A1-5,1,27.72227097,6.125037193,1.247488379
A,Base,A1-5,1,27.72227097,6.125037193,1.247488379
A,Base,A1-6,1,27.07976532,9.303805351,2.294805765
A,Base,A1-6,1,27.07976532,9.303805351,2.294805765
A,Base + ILeVO,A4-1,1,27.82545853,5.735878944,1.206039786
A,Base + ILeVO,A4-1,1,27.82545853,5.735878944,1.206039786
A,Base + ILeVO,A4-2,1,28.18829536,4.598822117,1.393782973
A,Base + ILeVO,A4-2,1,28.18829536,4.598822117,1.393782973
A,Base + ILeVO,A4-3,1,NA,NA,NA
A,Base + ILeVO,A4-3,1,NA,NA,NA
A,Base + ILeVO,A4-4,1,NA,NA,NA
A,Base + ILeVO,A4-4,1,NA,NA,NA
A,Base + ILeVO,A4-5,1,31.12729263,0.679101586,0.020832976
A,Base + ILeVO,A4-5,1,31.12729263,0.679101586,0.020832976
A,Base + ILeVO,A4-6,1,26.21234512,16.03526497,1.481258035
A,Base + ILeVO,A4-6,1,26.21234512,16.03526497,1.481258035
B,Base,B1-1,1,25.20473099,30.80459213,5.210638523
B,Base,B1-1,1,25.20473099,30.80459213,5.210638523
B,Base,B1-2,1,25.32607269,28.36105347,2.872324467
B,Base,B1-2,1,25.32607269,28.36105347,2.872324467
B,Base,B1-3,1,25.43815994,27.55298233,11.51926804
B,Base,B1-3,1,25.43815994,27.55298233,11.51926804
B,Base,B1-4,1,27.82193375,5.699095726,0.566646516
B,Base,B1-4,1,27.82193375,5.699095726,0.566646516
B,Base,B1-5,1,26.61907196,12.33398247,0.852406204
B,Base,B1-5,1,26.61907196,12.33398247,0.852406204
B,Base,B1-6,1,26.45717239,13.76276016,2.248210669
B,Base,B1-6,1,26.45717239,13.76276016,2.248210669
B,Base + ILeVO,B4-1,1,29.4523201,2.234729767,0.078924693
B,Base + ILeVO,B4-1,1,29.4523201,2.234729767,0.078924693
B,Base + ILeVO,B4-2,1,33.29542542,0.206249297,0.055118721
B,Base + ILeVO,B4-2,1,33.29542542,0.206249297,0.055118721
B,Base + ILeVO,B4-3,1,27.99574661,5.549845695,0.104331657
B,Base + ILeVO,B4-3,1,27.99574661,5.549845695,0.104331657
B,Base + ILeVO,B4-4,1,28.47174835,4.122059822,0.030667733
B,Base + ILeVO,B4-4,1,28.47174835,4.122059822,0.030667733
B,Base + ILeVO,B4-5,1,28.11232758,5.167132378,0.394477308
B,Base + ILeVO,B4-5,1,28.11232758,5.167132378,0.394477308
B,Base + ILeVO,B4-6,1,30.88119507,0.916477263,0.071956299
B,Base + ILeVO,B4-6,1,30.88119507,0.916477263,0.071956299
A,Base,A1-1,2,34.86055365,2.753827694,
A,Base,A1-1,2,34.86055365,2.753827694,
A,Base,A1-2,2,35.66783532,1.607166236,
A,Base,A1-2,2,35.66783532,1.607166236,
A,Base,A1-3,2,35.27313472,2.043661162,
A,Base,A1-3,2,35.27313472,2.043661162,
A,Base,A1-4,2,34.91080691,2.677807673,
A,Base,A1-4,2,34.91080691,2.677807673,
A,Base,A1-5,2,35.0646217,2.343660977,
A,Base,A1-5,2,35.0646217,2.343660977,
A,Base,A1-6,2,33.86848469,5.504236381,
A,Base,A1-6,2,33.86848469,5.504236381,
A,Base + ILeVO,A4-1,2,36.38239552,0.922337674,
A,Base + ILeVO,A4-1,2,36.38239552,0.922337674,
A,Base + ILeVO,A4-2,2,34.3132817,3.989474484,
A,Base + ILeVO,A4-2,2,34.3132817,3.989474484,
A,Base + ILeVO,A4-3,2,34.749543,3.001818117,
A,Base + ILeVO,A4-3,2,34.749543,3.001818117,
A,Base + ILeVO,A4-4,2,40.27479493,0.854604394,
A,Base + ILeVO,A4-4,2,40.27479493,0.854604394,
A,Base + ILeVO,A4-5,2,34.26683615,4.128777394,
A,Base + ILeVO,A4-5,2,34.26683615,4.128777394,
A,Base + ILeVO,A4-6,2,35.79627787,1.411885984,
A,Base + ILeVO,A4-6,2,35.79627787,1.411885984,
B,Base,B1-1,2,35.8295725,1.379753253,
B,Base,B1-1,2,35.8295725,1.379753253,
B,Base,B1-2,2,34.82809371,2.794199763,
B,Base,B1-2,2,34.82809371,2.794199763,
B,Base,B1-3,2,33.67033869,6.28465315,
B,Base,B1-3,2,33.67033869,6.28465315,
B,Base,B1-4,2,34.36010291,3.858108597,
B,Base,B1-4,2,34.36010291,3.858108597,
B,Base,B1-5,2,35.82574271,1.564288482,
B,Base,B1-5,2,35.82574271,1.564288482,
B,Base,B1-6,2,35.34814896,1.945085758,
B,Base,B1-6,2,35.34814896,1.945085758,
B,Base + ILeVO,B4-1,2,35.35461163,1.916755514,
B,Base + ILeVO,B4-1,2,35.35461163,1.916755514,
B,Base + ILeVO,B4-2,2,35.52245622,1.707946754,
B,Base + ILeVO,B4-2,2,35.52245622,1.707946754,
B,Base + ILeVO,B4-3,2,34.27503885,4.141799255,
B,Base + ILeVO,B4-3,2,34.27503885,4.141799255,
B,Base + ILeVO,B4-4,2,35.91115797,1.287063712,
B,Base + ILeVO,B4-4,2,35.91115797,1.287063712,
B,Base + ILeVO,B4-5,2,36.01576623,1.206009506,
B,Base + ILeVO,B4-5,2,36.01576623,1.206009506,
B,Base + ILeVO,B4-6,2,36.01052706,1.207654376,
B,Base + ILeVO,B4-6,2,36.01052706,1.207654376,
