Variety,Trt,Sample Name,Experiment,Fv_quant,SCN_quant,SCN_quant2
A,Base,A1-1,1,4932.501465,2.41734457,2417.34457
A,Base,A1-1,1,5283.224609,2.466260433,2466.260433
A,Base,A1-2,1,7080.822754,8.159263611,8159.263611
A,Base,A1-2,1,7332.085449,3.86690855,3866.90855
A,Base,A1-3,1,2379.417969,5.89938879,5899.38879
A,Base,A1-3,1,3338.373291,5.426365852,5426.365852
A,Base,A1-4,1,1127.335449,8.388824463,8388.824463
A,Base,A1-4,1,1173.242432,5.217596531,5217.596531
A,Base,A1-5,1,5250.307617,7.007144928,7007.144928
A,Base,A1-5,1,6895.20459,5.242929935,5242.929935
A,Base,A1-6,1,6847.650391,10.92647839,10926.47839
A,Base,A1-6,1,5154.961426,7.681132793,7681.132793
A,Base + ILeVO,A4-1,1,480.503418,6.588677883,6588.677883
A,Base + ILeVO,A4-1,1,476.4521179,4.883080006,4883.080006
A,Base + ILeVO,A4-2,1,884.2752686,5.584375381,5584.375381
A,Base + ILeVO,A4-2,1,2124.561035,3.613268614,3613.268614
A,Base + ILeVO,A4-3,1,405312.9688,,
A,Base + ILeVO,A4-3,1,386013.6875,,
A,Base + ILeVO,A4-4,1,15123.80566,,
A,Base + ILeVO,A4-4,1,15402.25684,,
A,Base + ILeVO,A4-5,1,4359.273926,0.664370477,664.3704772
A,Base + ILeVO,A4-5,1,4105.408203,0.693832755,693.8327551
A,Base + ILeVO,A4-6,1,1104.975098,14.98785686,14987.85686
A,Base + ILeVO,A4-6,1,1554.932983,17.08267212,17082.67212
B,Base,B1-1,1,3567.081299,27.12011528,27120.11528
B,Base,B1-1,1,3391.063232,34.48907089,34489.07089
B,Base,B1-2,1,1911.236084,26.33001328,26330.01328
B,Base,B1-2,1,1322.915649,30.39209366,30392.09366
B,Base,B1-3,1,1593.112305,35.69833374,35698.33374
B,Base,B1-3,1,3014.06543,19.40762901,19407.62901
B,Base,B1-4,1,853.2814941,6.099775314,6099.775314
B,Base,B1-4,1,1190.590698,5.298416138,5298.416138
B,Base,B1-5,1,4743.318359,12.93672466,12936.72466
B,Base,B1-5,1,6264.969727,11.73124027,11731.24027
B,Base,B1-6,1,6844.712402,12.17303562,12173.03562
B,Base,B1-6,1,6061.700195,15.35248566,15352.48566
B,Base + ILeVO,B4-1,1,192.2567444,2.178921461,2178.921461
B,Base + ILeVO,B4-1,1,587.2415161,2.290537834,2290.537834
B,Base + ILeVO,B4-2,1,56.60026932,0.245224118,245.2241182
B,Base + ILeVO,B4-2,1,33.21617508,0.167274475,167.2744751
B,Base + ILeVO,B4-3,1,590.833313,5.623619556,5623.619556
